time;roundtrip_time [ms];bitrate [b/s];frame_size [b];framerate [fps];decode_time [ms];codec
595208;1;2573093;10723;30;2.97;video/VP8
600208;1;2571633;10787;30;3.09;video/VP8
605208;1;2560490;10599;30;3.1;video/VP8
610208;1;2573186;10720;30;3.04;video/VP8
615208;1;2578564;10744;30;3.05;video/VP8
620207;0;2567583;10769;30;3.06;video/VP8
625207;0;2561038;10605;30;3;video/VP8
630209;0;2575277;10729;30;2.92;video/VP8
635207;1;2574368;10794;30;3.05;video/VP8
640208;0;2566111;10623;30;2.85;video/VP8
645207;0;2559454;10736;30;2.86;video/VP8
650207;0;2574057;10653;30;2.74;video/VP8
655207;1;2570392;10710;30;2.81;video/VP8
660207;0;2576932;10738;30;2.89;video/VP8
665208;0;2566424;10694;30;2.97;video/VP8
670207;0;2567454;10696;30;2.79;video/VP8
675207;1;2564972;10688;30;2.81;video/VP8
680208;0;2587809;10856;30;2.92;video/VP8
685208;0;2566944;10625;30;2.85;video/VP8
